2007-01-25,09:00:01,PL0GPWF05769,FTPSH7,12860,1
2007-01-25,09:00:01,PL0GPWF05967,FW20M7,34600,1
2007-01-25,09:00:01,PL0GPWF05967,FW20M7,34600,1
2007-01-25,09:00:01,PL0GPWF05967,FW20M7,34600,1
2007-01-25,09:00:01,PL0GPWF05967,FW20M7,34600,1
2007-01-25,09:00:01,PL0GPWF05967,FW20M7,34600,1
2007-01-25,09:00:01,PL0GPWF06148,FW20U7,34450,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,5
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,5
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,5
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,7
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,7
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,6
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,5
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,8
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,10
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,10
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,10
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,10
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,10
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,10
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,10
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,9
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,8
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,200
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,5
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,4
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,4
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,4
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,4
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,4
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,3
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,3
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,1
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,5
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,50
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,20
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,20
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,15
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,14
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,12
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,12
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,12
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,5
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
2007-01-25,09:00:02,PL0GPWF05785,FW20H7,34700,2
